exeution_time
30
31
31
32
32
32
33
33
37
35
36
36
36
37
39
39
37
34
37
38
38
39
39
39
19
18
18
18
19
19
19
20
18
16
16
17
17
18
18
21
34
35
35
35
36
36
36
37
35
36
33
34
34
35
38
36
20
18
20
21
21
21
22
22
40
38
38
39
39
40
40
41
36
34
34
35
35
35
36
39
17
18
18
18
19
19
19
20
19
20
21
19
19
20
20
20
36
36
36
36
37
37
37
36
36
35
34
35
36
36
36
36
34
31
32
32
32
33
33
36
22
21
22
22
22
24
24
25
33
31
31
31
32
32
35
35
34
32
35
35
35
36
36
36
36
35
35
35
35
36
36
36
34
31
32
32
32
32
33
36
34
34
34
35
35
36
36
37
17
14
15
18
15
16
31
34
35
32
36
36
37
37
37
38
58
56
57
57
57
58
58
58
20
21
18
18
19
19
19
19
49
50
50
50
51
51
51
51
42
40
40
40
41
41
44
44
53
52
54
54
55
55
56
56
20
18
18
19
19
19
20
20
36
35
35
36
36
36
37
39
34
34
34
35
35
35
36
50
36
33
34
34
34
35
38
38
42
41
43
43
43
44
44
44
33
32
32
32
32
33
33
33
23
21
21
22
22
23
23
27
17
16
17
17
17
18
18
18
17
15
15
16
16
16
20
20
33
31
33
34
34
34
34
35
17
16
16
17
17
17
17
18
37
35
35
35
36
36
36
39
49
49
50
50
50
51
51
51
49
48
48
48
49
49
51
52
8
8
9
9
10
10
10
18
20
17
18
18
18
19
19
19
37
37
36
36
36
37
37
37
50
51
51
52
52
53
53
53
51
51
49
49
50
50
52
51
32
30
32
33
33
33
34
34
36
33
33
34
34
34
35
35
19
17
18
18
18
19
19
21
51
51
51
52
52
52
53
53
37
34
34
35
35
36
39
39
49
47
50
51
51
51
51
52
43
40
40
41
41
41
42
42
36
36
34
34
34
35
35
36
26
26
26
26
26
28
28
28
20
18
18
19
20
20
22
23
36
34
36
37
37
37
37
38
33
32
32
32
33
33
33
34
21
19
20
20
20
21
21
23
38
38
39
39
39
39
40
40
